Model,Model Year,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size,Manufacturer ID,Category ID,Fuel ID
Suburban 4WD,2022,,,22.0,Automatic,3.0L,215,29,35
Tahoe 2WD,2022,,,24.0,Automatic,3.0L,215,29,35
Tahoe 4WD,2022,,,22.0,Automatic,3.0L,215,29,35
Pacifica Hybrid,2022,32.0,82.0,30.0,Automatic,3.6L,223,9,57
SF90 Spyder,2022,8.0,44.0,17.0,Automatic,3.9L,409,27,57
SF90 Stradale ,2022,9.0,51.0,18.0,Automatic,3.9L,409,27,57
Escape AWD HEV,2022,,,40.0,Automatic,2.5L I4,219,27,45
Escape FWD HEV,2022,,,41.0,Automatic,2.5L I4,219,27,45
Escape FWD PHEV,2022,37.0,105.0,41.0,Automatic,2.5L,219,29,57
Explorer AWD FFV,2022,,13.0,19.0,Automatic,3.3L,219,29,11
Explorer HEV AWD,2022,,,25.0,Automatic,3.3L V6,219,29,45
Explorer HEV RWD,2022,,,27.0,Automatic,3.3L V6,219,29,45
Explorer Platinum HEV ,2022,,,23.0,Automatic,3.3L V6,219,29,45
F-150 2WD FFV,2022,,16.0,21.0,Automatic,3.3L,219,25,11
F-150 2WD FFV - Without Start/Stop,2022,,14.0,19.0,Automatic,5.0L,219,25,11
F-150 2WD FFV - With Start/Stop,2022,,14.0,20.0,Automatic,5.0L,219,25,11
F-150 4WD FFV,2022,,15.0,20.0,Automatic,3.3L,219,25,11
F-150 4WD FFV - Without Start/Stop,2022,,14.0,18.0,Automatic,5.0L,219,25,11
F-150 4WD FFV - With Start/Stop,2022,,13.0,19.0,Automatic,5.0L,219,25,11
F150 Lightning 4WD,2022,230.0,68.0,,Automatic,358 kW electric motors (x2),219,25,41
F150 Lightning 4WD Extended Range,2022,320.0,70.0,,Automatic,210 kW electric motors (x2),219,25,41
F150 Lightning Platinum 4WD,2022,300.0,66.0,,Automatic,210 kW electric motors (x2),219,25,41
F150 Pickup 2WD HEV,2022,,,25.0,Automatic,3.5L V6,219,25,45
F150 Pickup 4WD HEV,2022,,,23.0,Automatic,3.5L V6,219,25,45
Maverick Pickup HEV,2022,,,37.0,Automatic,2.5L V6,219,25,45
Mustang Mach-E AWD,2022,224.0,93.0,,Automatic,198 kW electric motors (x2),219,29,41
Mustang Mach-E AWD California Route 1,2022,312.0,98.0,,Automatic,258 kW electric motors (x2),219,29,41
Mustang Mach-E AWD Extended,2022,277.0,91.0,,Automatic,258 kW electric motors (x2),219,29,41
Mustang Mach-E GT AWD,2022,270.0,84.0,,Automatic,179  kW electric motors (X2),219,29,41
Mustang Mach-E GT Performance,2022,260.0,82.0,,Automatic,179  kW electric motor,219,29,41
Mustang Mach-E RWD,2022,247.0,103.0,,Automatic,198 kW electric motor,219,29,41
Mustang Mach-E RWD California Route 1,2022,314.0,101.0,,Automatic,216 kW electric motor,219,29,41
Mustang Mach-E RWD Extended,2022,303.0,97.0,,Automatic,216 kW electric motor,219,29,41
Transit Connect Van FFV,2022,,19.0,25.0,Automatic,2.0L,219,9,11
Transit Connect Wagon LWB FFV,2022,,18.0,26.0,Automatic,2.0L,219,3,11
Transit T150 Passenger Van 2WD FFV,2022,,12.0,17.0,Automatic,3.5L,219,9,11
Transit T150 Passenger Van 4WD FFV,2022,,12.0,16.0,Automatic,3.5L,219,9,11
Canyon 2WD,2022,,,23.0,Automatic,2.8L,213,25,35
Canyon 4WD,2022,,,22.0,Automatic,2.8L,213,25,35
Sierra 2WD,2022,,12.0,16.0,Automatic,5.3L,213,25,11
Sierra 2WD,2022,,,26.0,Automatic,3.0L,213,25,35
Sierra 4WD,2022,,12.0,16.0,Automatic,5.3L,213,25,11
Sierra 4WD,2022,,,24.0,Automatic,3.0L,213,25,35
Sierra 4WD - Mud Terrain Tires,2022,,,21.0,Automatic,3.0L,213,25,35
Sierra 4WD - Mud Terrain Tires,2022,,12.0,15.0,Automatic,5.3L,213,25,11
Yukon 2WD,2022,,,23.0,Automatic,3.0L,213,29,35
Yukon 4WD,2022,,,22.0,Automatic,3.0L,213,29,35
Yukon XL 2WD,2022,,,23.0,Automatic,3.0L,213,29,35
Yukon XL 4WD,2022,,,22.0,Automatic,3.0L,213,29,35
Accord,2022,,,47.0,Automatic,2.0L,209,27,45
Accord Sport/Touring,2022,,,43.0,Automatic,2.0L,209,27,45
CR-V AWD,2022,,,38.0,Automatic,2.0L,209,29,45
Insight,2022,,,52.0,Automatic,1.5L,209,27,45
Insight Touring,2022,,,48.0,Automatic,1.5L,209,27,45
Elantra Hybrid,2022,,,50.0,Automatic,1.6L,351,27,45
Elantra Hybrid Blue,2022,,,54.0,Automatic,1.6L,351,27,45
Ioniq,2022,,,55.0,Automatic,1.6L,351,27,45
