Model,Model Year,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size,Manufacturer ID,Category ID,Fuel ID
Q7,2021,,,20.0,Automatic,3.0L,377,29,45
Q8,2021,,,20.0,Automatic,3.0L,377,29,45
RS 6 Avant,2021,,,17.0,Automatic,4.0L,377,27,45
RS7,2021,,,17.0,Automatic,4.0L,377,27,45
RS Q8,2021,,,15.0,Automatic,4.0L,377,27,45
S6,2021,,,22.0,Automatic,2.9L,377,27,45
S7,2021,,,22.0,Automatic,2.9L,377,27,45
S8,2021,,,16.0,Automatic,4.0L,377,27,45
Bentayga,2021,18.0,46.0,19.0,Automatic,3.0L,355,29,57
330e,2021,23.0,75.0,28.0,Automatic,2.0L,211,27,57
330e xDrive,2021,20.0,67.0,25.0,Automatic,2.0L,211,27,57
530e,2021,21.0,64.0,26.0,Automatic,2.0L,211,27,57
530e xDrive,2021,19.0,62.0,25.0,Automatic,2.0L,211,27,57
540i,2021,,,27.0,Automatic,3.0L,211,29,45
540i xDrive,2021,,,26.0,Automatic,3.0L,211,29,45
745e xDrive,2021,17.0,56.0,22.0,Automatic,3.0L,211,27,57
i3,2021,153.0,113.0,,Automatic,125 kW electric motor,211,27,41
i3s,2021,153.0,113.0,,Automatic,135 kW electric motor,211,27,41
i3s with Range Extender,2021,126.0,100.0,31.0,Automatic,135 kW,211,27,57
i3 with Range Extender,2021,126.0,100.0,31.0,Automatic,125 kW,211,27,57
M340i,2021,,,26.0,Automatic,3.0L,211,29,45
M340i xDrive,2021,,,25.0,Automatic,3.0L,211,29,45
M440i Convertible,2021,,,26.0,Automatic,3.0L,211,27,45
M440i xDrive Coupe,2021,,,25.0,Automatic,3.0L,211,27,45
X3 xDrive30e,2021,18.0,60.0,24.0,Automatic,2.0L,211,29,57
X5 sDrive40i 2WD,2021,,,23.0,Automatic,3.0L,211,29,45
X5 sDrive40i 4WD,2021,,,23.0,Automatic,3.0L,211,29,45
X5 xDrive45e,2021,31.0,50.0,20.0,Automatic,3.0L,211,29,57
X6 sDrive40i 2WD,2021,,,23.0,Automatic,3.0L,211,29,45
X6 sDrive40i 4WD,2021,,,23.0,Automatic,3.0L,211,29,45
X7 sDrive40i 4WD,2021,,,21.0,Automatic,3.0L,211,29,45
Escalade 2WD,2021,,,23.0,Automatic,3.0L,231,29,35
Escalade 4WD,2021,,,22.0,Automatic,3.0L,231,29,35
Bolt EV,2021,259.0,118.0,,,150 kW electric motor,215,27,41
Colorado 2WD,2021,,,23.0,Automatic,2.8L,215,25,35
Colorado 4WD,2021,,,22.0,Automatic,2.8L,215,25,35
Colorado ZR2 4WD,2021,,,19.0,Automatic,2.8L,215,25,35
Silverado 2WD,2021,,,27.0,Automatic,3.0L,215,25,35
Silverado 2WD,2021,,12.0,16.0,Automatic,5.3L,215,25,11
Silverado 4WD,2021,,,24.0,Automatic,3.0L,215,25,35
Silverado 4WD,2021,,12.0,16.0,Automatic,5.3L,215,25,11
Suburban 2WD,2021,,,23.0,Automatic,3.0L,215,29,35
Suburban 4WD,2021,,,22.0,Automatic,3.0L,215,29,35
Tahoe 2WD,2021,,,24.0,Automatic,3.0L,215,29,35
Tahoe 4WD,2021,,,22.0,Automatic,3.0L,215,29,35
Pacifica Hybrid,2021,32.0,82.0,30.0,Automatic,3.6L,223,9,57
SF90 Stradale Coupe,2021,8.0,51.0,18.0,Automatic,3.9L,409,27,57
Escape AWD HEV,2021,,,40.0,Automatic,2.5L I4,219,27,45
Escape FWD HEV,2021,,,41.0,Automatic,2.5L I4,219,27,45
Escape FWD PHEV,2021,37.0,105.0,40.0,Automatic,2.5L,219,29,57
Explorer AWD FFV,2021,,13.0,19.0,Automatic,3.3L,219,29,11
Explorer HEV AWD,2021,,,25.0,Automatic,3.3L V6,219,29,45
Explorer HEV RWD,2021,,,27.0,Automatic,3.3L V6,219,29,45
F-150 2WD,2021,,,23.0,Automatic,3.0L,219,25,35
F-150 2WD FFV,2021,,16.0,21.0,Automatic,3.3L,219,25,11
F-150 4WD,2021,,,23.0,Automatic,3.0L,219,25,35
F-150 4WD FFV,2021,,15.0,20.0,Automatic,3.3L,219,25,11
F150 Pickup 2WD HEV,2021,,,25.0,Automatic,3.5L V6,219,25,45
F150 Pickup 4WD HEV,2021,,,24.0,Automatic,3.5L V6,219,25,45
Mustang Mach-E AWD,2021,211.0,93.0,,Automatic,198 kW electric motor,219,27,41
Mustang Mach-E AWD Extended,2021,270.0,90.0,,Automatic,209 kW electric motor,219,27,41
Mustang Mach-E GT AWD,2021,270.0,84.0,,Automatic,179  kW electric motors (X2),219,27,41
Mustang Mach-E RWD,2021,230.0,100.0,,Automatic,198 kW electric motor,219,27,41
Mustang Mach-E RWD California Route 1,2021,305.0,101.0,,Automatic,216 kW electric motor,219,27,41
Mustang Mach-E RWD Extended,2021,300.0,97.0,,Automatic,216 kW electric motor,219,27,41
Transit Connect Van FFV,2021,,19.0,25.0,Automatic,2.0L,219,9,11
Transit Connect Wagon LWB FFV,2021,,19.0,26.0,Automatic,2.0L,219,3,11
Transit T150 Passenger Van 2WD FFV,2021,,12.0,16.0,Automatic,3.5L,219,3,11
Transit T150 Passenger Van 4WD FFV,2021,,12.0,16.0,Automatic,3.5L,219,3,11
Canyon 2WD,2021,,,23.0,Automatic,2.8L,213,25,35
Canyon 4WD,2021,,,22.0,Automatic,2.8L,213,25,35
Sierra 2WD,2021,,,26.0,Automatic,3.0L,213,25,35
Sierra 2WD,2021,,12.0,16.0,Automatic,5.3L,213,25,11
Sierra 4WD,2021,,,24.0,Automatic,3.0L,213,25,35
Sierra 4WD,2021,,12.0,16.0,Automatic,5.3L,213,25,11
Sierra 4WD AT4,2021,,,24.0,Automatic,3.0L,213,25,35
Yukon 2WD,2021,,,23.0,Automatic,3.0L,213,29,35
Yukon 4WD,2021,,,22.0,Automatic,3.0L,213,29,35
Yukon XL 2WD,2021,,,23.0,Automatic,3.0L,213,29,35
Yukon XL 4WD,2021,,,22.0,Automatic,3.0L,213,29,35
Accord,2021,,,48.0,Automatic,2.0L,209,27,45
Accord Sport/Touring,2021,,,43.0,Automatic,2.0L,209,27,45
Clarity,2021,,68.0,,Automatic,130 kW electric motor,209,27,9
Clarity PHEV,2021,48.0,110.0,42.0,Automatic,1.5L,209,27,57
CR-V AWD,2021,,,38.0,Automatic,2.0L,209,29,45
Insight,2021,,,52.0,Automatic,1.5L,209,27,45
Insight Touring,2021,,,48.0,Automatic,1.5L,209,27,45
Elantra Hybrid,2021,,,50.0,Automatic,1.6L,351,27,45
Elantra Hybrid Blue,2021,,,54.0,Automatic,1.6L,351,27,45
Ioniq,2021,,,55.0,Automatic,1.6L,351,27,45
Ioniq Blue,2021,,,59.0,Automatic,1.6L,351,27,45
Ioniq Electric,2021,170.0,133.0,,Automatic,100 kW electric motor,351,27,41
Ioniq Plug-in Hybrid,2021,29.0,119.0,52.0,Automatic,1.6L,351,27,57
Kona Electric,2021,258.0,120.0,,Automatic,150 kW electric motor,351,29,41
Nexo,2021,,57.0,,Automatic,120 kW electric motor,351,29,9
Nexo Blue,2021,,61.0,,Automatic,120 kW electric motor,351,29,9
Santa Fe Hybrid,2021,,,32.0,Automatic,1.6L,351,27,45
Santa Fe Hybrid Blue,2021,,,34.0,Automatic,1.6L,351,27,45
Sonata Hybrid,2021,,,47.0,Automatic,2.0L,351,27,45
Sonata Hybrid Blue,2021,,,52.0,Automatic,2.0L,351,27,45
E-PACE MHEV,2021,,,23.0,Automatic,2.0L,385,29,45
F-PACE P340 MHEV,2021,,,22.0,Automatic,3.0L,385,29,45
F-PACE P400 MHEV,2021,,,22.0,Automatic,3.0L,385,29,45
I-PACE EV400,2021,234.0,76.0,,Automatic,,385,29,41
Wrangler 2dr 4x4,2021,,,21.0,Automatic,3.6L,275,29,45
Wrangler 4dr 4x4,2021,,,21.0,Automatic,3.6L,275,29,45
Wrangler 4dr 4xe,2021,22.0,49.0,20.0,Automatic,2.0L,275,29,57
K27,2021,59.0,114.0,,Automatic,20 kW electric motor,466,27,41
"GS-6 (21"" wheels)",2021,61.0,70.0,26.0,Automatic,1.5L,424,27,57
"Revero GT (21"" wheels)",2021,61.0,70.0,26.0,Automatic,1.5L,424,27,57
Niro,2021,,,49.0,Automatic,1.6L,361,27,45
Niro Electric,2021,239.0,112.0,,Automatic,150 kW electric motor,361,27,41
Niro FE,2021,,,50.0,Automatic,1.6L,361,27,45
Niro Plug-in Hybrid,2021,26.0,105.0,46.0,Automatic,1.6L,361,27,57
Niro Touring,2021,,,43.0,Automatic,1.6L,361,27,45
Sorento Hybrid,2021,,,37.0,Automatic,1.6L,361,29,45
Defender 110 MHEV,2021,,,19.0,Automatic,3.0L,387,29,45
Defender 90 MHEV,2021,,,19.0,Automatic,3.0L,387,29,45
Discovery MHEV,2021,,,21.0,Automatic,3.0L,387,29,45
Range Rover ,2021,,,24.0,Automatic,3.0L,387,29,35
Range Rover MHEV,2021,,,20.0,Automatic,3.0L,387,29,45
Range Rover PHEV,2021,19.0,42.0,19.0,Automatic,2.0L,387,29,57
Range Rover Sport,2021,,,24.0,Automatic,3.0L,387,29,35
Range Rover Sport MHEV,2021,,,21.0,Automatic,3.0L,387,29,45
Range Rover Sport PHEV,2021,19.0,42.0,20.0,Automatic,2.0L,387,29,57
Range Rover Velar P340 MHEV,2021,,,22.0,Automatic,3.0L,387,29,45
Range Rover Velar P400 MHEV,2021,,,21.0,Automatic,3.0L,387,29,45
ES 300h,2021,,,44.0,Automatic,2.5L,243,27,45
LC 500h,2021,,,29.0,Automatic,3.5L,243,27,45
LS 500h,2021,,,28.0,Automatic,3.5L,243,27,45
LS 500h AWD,2021,,,26.0,Automatic,3.5L,243,27,45
NX 300h AWD,2021,,,31.0,Automatic,2.5L,243,29,45
RX 450h AWD,2021,,,30.0,Automatic,3.5L,243,29,45
RX 450h L AWD,2021,,,29.0,Automatic,3.5L,243,29,45
UX 250h,2021,,,42.0,Automatic,2.0L,243,27,45
UX 250h AWD,2021,,,39.0,Automatic,2.0L,243,27,45
Aviator AWD PHEV,2021,21.0,56.0,23.0,Automatic,3.0L,227,29,57
Corsair AWD PHEV,2021,28.0,78.0,33.0,Automatic,2.5L,227,29,57
AMG CLS 53 4MATIC+,2021,,,23.0,Automatic,3.0L,239,27,45
AMG E53 4MATIC+,2021,,,25.0,Automatic,3.0L,239,27,45
AMG E53 4MATIC+ (Convertible),2021,,,23.0,Automatic,3.0L,239,27,45
AMG E53 4MATIC+ (Coupe),2021,,,24.0,Automatic,3.0L,239,27,45
AMG GLE 53 4MATIC+,2021,,,19.0,Automatic,3.0L,239,29,45
AMG GLE 53 4MATIC+ Coupe,2021,,,20.0,Automatic,3.0L,239,29,45
AMG GLE 63 4MATIC+,2021,,,16.0,Automatic,4.0L,239,29,45
AMG GLE 63 S 4MATIC+ Coupe,2021,,,17.0,Automatic,4.0L,239,29,45
AMG GLS 63 4MATIC+,2021,,,16.0,Automatic,4.0L,239,29,45
AMG GT 43 4MATIC+,2021,,,22.0,Automatic,3.0L,239,27,45
AMG GT 53 4MATIC+,2021,,,22.0,Automatic,3.0L,239,27,45
CLS 450,2021,,,26.0,Automatic,3.0L,239,27,45
CLS 450 4MATIC,2021,,,25.0,Automatic,3.0L,239,27,45
E 450 4MATIC,2021,,,26.0,Automatic,3.0L,239,27,45
E 450 4MATIC All-Terrain (wagon),2021,,,24.0,Automatic,3.0L,239,27,45
E 450 4MATIC (Convertible),2021,,,25.0,Automatic,3.0L,239,27,45
E 450 4MATIC (Coupe),2021,,,25.0,Automatic,3.0L,239,27,45
E 450 (Convertible),2021,,,25.0,Automatic,3.0L,239,27,45
E 450 (Coupe),2021,,,26.0,Automatic,3.0L,239,27,45
GLE 450 4MATIC,2021,,,23.0,Automatic,3.0L,239,29,45
GLE 580 4MATIC,2021,,,19.0,Automatic,4.0L,239,29,45
GLS 450 4MATIC,2021,,,21.0,Automatic,3.0L,239,29,45
GLS 580 4MATIC,2021,,,18.0,Automatic,4.0L,239,29,45
GLS 600 4MATIC Maybach,2021,,,16.0,Automatic,4.0L,239,29,45
S 500 4MATIC,2021,,,24.0,Automatic,3.0L,239,27,45
S 580 4MATIC,2021,,,20.0,Automatic,4.0L,239,27,45
S 580 4MATIC Maybach,2021,,,19.0,Automatic,4.0L,239,27,45
Cooper SE Countryman ALL4,2021,18.0,73.0,29.0,Automatic,1.5L,425,27,57
Cooper SE Hardtop 2 door,2021,110.0,108.0,,Automatic,135 kW electric motor,425,27,41
Outlander PHEV,2021,24.0,74.0,26.0,Automatic,2.4L,263,29,57
Leaf (40 kWh battery pack),2021,149.0,111.0,,Automatic,110 kW electric motor,217,27,41
Leaf (62 kWh battery pack),2021,226.0,108.0,,Automatic,160 kW electric motor,217,27,41
Leaf SV/SL (62 kWh battery pack),2021,215.0,104.0,,Automatic,160 kW electric motor,217,27,41
Polestar 2,2021,233.0,92.0,,Automatic,,462,27,41
Polestar I,2021,52.0,58.0,26.0,Automatic,2.0L,462,27,57
Cayenne e-Hybrid,2021,17.0,46.0,21.0,Automatic,3.0L ,391,29,57
Cayenne e-Hybrid Coupe,2021,17.0,46.0,21.0,Automatic,3.0L ,391,29,57
Cayenne Turbo S e-Hybrid,2021,15.0,42.0,18.0,Automatic,4.0L,391,29,57
Cayenne Turbo S e-Hybrid Coupe,2021,15.0,42.0,18.0,Automatic,4.0L,391,29,57
Panamera 4 E-Hybrid,2021,19.0,52.0,22.0,Automatic,2.9L,391,27,57
Panamera 4 E-Hybrid Executive,2021,19.0,52.0,22.0,Automatic,2.9L,391,27,57
Panamera 4 E-Hybrid ST,2021,19.0,52.0,22.0,Automatic,2.9L,391,27,57
Panamera 4S E-Hybrid,2021,19.0,50.0,22.0,Automatic,2.9L,391,27,57
Panamera 4S E-Hybrid Executive,2021,19.0,50.0,22.0,Automatic,2.9L,391,27,57
Panamera 4S E-Hybrid ST,2021,19.0,50.0,22.0,Automatic,2.9L,391,27,57
Panamera Turbo S E-Hybrid,2021,17.0,48.0,19.0,Automatic,4.0L,391,27,57
Panamera Turbo S E-Hybrid Executive,2021,17.0,48.0,19.0,Automatic,4.0L,391,27,57
Panamera Turbo S E-Hybrid ST,2021,17.0,48.0,19.0,Automatic,4.0L,391,27,57
Taycan 4S Perf Battery,2021,199.0,79.0,,Automatic,194 and 280 kW electric motors,391,27,41
Taycan 4S Perf Battery Plus,2021,227.0,77.0,,Automatic,210 and 250 kW electric motors,391,27,41
Taycan Perf Battery,2021,200.0,79.0,,Automatic,240 kW electric motor,391,27,41
Taycan Perf Battery Plus,2021,225.0,75.0,,Automatic,280 kW electric motor,391,27,41
Taycan Turbo,2021,212.0,73.0,,Automatic,,391,27,41
Taycan Turbo S,2021,201.0,70.0,,Automatic,,391,27,41
1500 2WD,2021,,,22.0,Automatic,3.6L,349,25,45
1500 4WD,2021,,,21.0,Automatic,3.6L,349,25,45
1500 HFE 4X2,2021,,,23.0,Automatic,3.6L,349,25,45
Crosstrek Hybrid AWD,2021,17.0,90.0,35.0,Automatic,2.0L,383,29,57
Model 3 Long Range AWD,2021,353.0,134.0,,Automatic,131 and 190 kW electric motors,237,27,41
Model 3 Performance AWD,2021,315.0,113.0,,Automatic,131 and 190 kW electric motors,237,27,41
Model 3 Standard Range Plus RWD,2021,263.0,142.0,,Automatic,198 kW electric motor,237,27,41
Model S Long Range,2021,405.0,120.0,,Automatic,179 kW and 186 kW electric motor,237,27,41
"Model S Performance (19"" Wheels)",2021,387.0,110.0,,Automatic,149 kW and 276 kW electric motor,237,27,41
"Model S Plaid (21"" Wheels)",2021,348.0,101.0,,Automatic,250 kW electric motors (X3),237,27,41
Model X Long Range Plus,2021,371.0,105.0,,Automatic,180 and 189 kW electric motor,237,29,41
"Model X Performance (20"" Wheels)",2021,341.0,97.0,,Automatic,151 and 273 kW electric motors,237,29,41
Model Y Long Range AWD,2021,326.0,125.0,,Automatic,69 and 201 kW electric motors,237,29,41
Model Y Performance AWD,2021,303.0,111.0,,Automatic,133 and 179 kW electric motors,237,29,41
Model Y Standard Range RWD,2021,244.0,129.0,,Automatic,209 kW electric motor,237,29,41
Avalon Hybrid,2021,,,43.0,Automatic,2.5L,221,27,45
Avalon Hybrid XLE,2021,,,44.0,Automatic,2.5L,221,27,45
Camry Hybrid LE,2021,,,52.0,Automatic,2.5L,221,27,45
Camry Hybrid SE/XLE/XSE,2021,,,46.0,Automatic,2.5L,221,27,45
Corolla Hybrid,2021,,,52.0,Automatic,1.8L,221,27,45
Highlander Hybrid,2021,,,36.0,Automatic,2.5L,221,29,45
Highlander Hybrid AWD,2021,,,35.0,Automatic,2.5L,221,29,45
Highlander Hybrid AWD LTD/PLAT,2021,,,35.0,Automatic,2.5L,221,29,45
Mirai Limited,2021,,65.0,,Automatic,134 kW electric motor,221,27,9
Mirai XLE,2021,,72.0,,Automatic,134 kW electric motor,221,27,9
Prius,2021,,,52.0,Automatic,1.8L,221,27,45
Prius AWD,2021,,,49.0,Automatic,1.8L,221,27,45
Prius Eco,2021,,,56.0,Automatic,1.8L,221,27,45
Prius Prime,2021,25.0,133.0,54.0,Automatic,1.8L,221,27,57
RAV4 Hybrid AWD,2021,,,40.0,Automatic,2.5L,221,29,45
RAV4 Prime AWD,2021,42.0,94.0,38.0,Automatic,2.5L,221,27,57
Sienna,2021,,,36.0,Automatic,2.5L,221,9,45
Sienna AWD,2021,,,35.0,Automatic,2.5L,221,9,45
Venza AWD,2021,,,39.0,Automatic,2.5L,221,29,45
ID.4 1st,2021,250.0,97.0,,Automatic,150 kW electric motor,347,29,41
ID.4 AWD Pro,2021,249.0,97.0,,Automatic,80 and 150 kW electric motors,347,29,41
ID.4 Pro,2021,260.0,99.0,,Automatic,150 kW electric motor,347,29,41
ID.4 Pro S,2021,250.0,97.0,,Automatic,150 kW electric motor,347,29,41
ID.4 Pro S AWD ,2021,240.0,93.0,,Automatic,80 and 150 kW electric motors,347,29,41
S60 AWD,2021,22.0,69.0,30.0,Automatic,2.0L,395,27,57
S90 AWD,2021,21.0,60.0,30.0,Automatic,2.0L,395,27,57
V60 AWD,2021,22.0,69.0,30.0,Automatic,2.0L,395,29,57
XC40 Recharge,2021,208.0,79.0,,Automatic,,395,29,41
XC60 AWD,2021,19.0,57.0,27.0,Automatic,2.0L,395,29,57
XC90 AWD,2021,18.0,55.0,27.0,Automatic,2.0L,395,29,57
