Brand,Model,Spec,Year,dB at idle,dB at 55 mph,dB at 65 mph,dB at 70 mph,dB at 75 mph,dB at 85 mph
Kia,Picanto,1.0,2011,46.0,65.4,68.7,68.9,70.8,72.9
Kia,Picanto,1.2,2012,46.3,64.2,67.2,67.9,71.6,73.4
Kia,Picanto,1.0,2013,39.5,63.3,67.5,68.2,70.9,73.6
Kia,Picanto,1.0,2018,38.2,59.5,68.9,69.9,71.1,72.8
Kia,Pro Cee'd,GT,2014,38.8,62.2,65.3,65.9,68.3,70.6
Kia,Pro_CEE'D,1.6,2013,39.2,63.6,66.6,67.3,70.7,74.0
Kia,Rio,1.2,2011,36.5,66.7,69.9,70.5,72.0,74.8
Kia,Rio,1.2,2011,43.2,61.5,65.5,65.5,66.5,67.6
Kia,Rio,1.2,2012,39.1,66.2,68.3,68.8,71.4,73.9
Kia,Rio,1.0,2017,39.3,61.7,64.9,65.4,67.0,69.6
Kia,Sorento,2.4,2010,44.0,62.6,66.4,66.5,67.7,69.1
Kia,Sorento,EX V6,2011,34.5,55.3,58.9,59.1,61.4,62.2
Kia,Sorento,V6,2011,34.5,55.3,58.9,59.1,61.4,62.2
Kia,Soul,1.6,2009,44.8,63.7,65.5,65.7,69.0,72.7
Kia,Soul, ,2009,39.2,66.0,69.2,69.7,72.4,74.8
Kia,Soul, ,2010,44.3,65.6,69.4,69.6,72.5,73.5
Kia,Soul,1.6,2015,43.7,62.7,67.3,67.9,69.8,71.3
Kia,Soul,EV,2017,42.3,60.2,63.4,63.9,65.2,68.9
Kia,Sportage,2.0,2010,45.0,64.0,68.5,68.6,69.2,69.9
Kia,Sportage,2.4,2011,42.9,66.4,70.5,70.7,71.5,71.8
Kia,Sportage,1.6,2012,35.4,63.6,65.6,66.2,69.5,71.6
Kia,Sportage,1.6,2012,46.3,65.9,69.1,69.3,71.3,73.5
Kia,Sportage,1.6,2012,44.6,65.4,66.1,66.6,68.8,71.3
Kia,Sportage,1.6,2016,42.8,59.8,63.2,63.7,66.0,68.3
Kia,Sportage,1.7d,2018,44.3,59.9,65.8,66.5,68.0,69.8
Kia,Stonic,1.0,2017,37.1,61.3,64.2,64.7,67.3,70.8
Kia,Stonic,1.0,2018,38.2,58.0,66.4,67.2,68.5,69.8
Kia,Venga,1.4,2010,42.1,66.6,69.3,69.8,72.2,75.0
Kia,Venga,1.4,2010,44.1,62.8,67.4,67.5,67.9,68.4
Lancia,Delta,1.4,2008,43.7,66.8,68.6,69.1,71.0,73.2
Lancia,Delta,1.9D,2009,43.6,62.1,65.2,65.3,67.2,69.2
Lancia,Delta,1.8,2010,45.0,64.0,68.1,68.1,69.2,70.4
Lancia,Delta,1.4,2011,43.6,61.4,64.3,64.8,67.3,70.7
Lancia,Thema,3.6 V6,2012,41.3,58.8,63.0,63.1,63.6,64.2
Lancia,Ypsilon,0.9,2011,46.3,62.7,66.9,67.6,71.6,72.9
Lancia,Ypsilon,0.9,2011,46.2,65.7,68.8,69.0,71.1,73.4
Lancia,Ypsilon,0.9,2013,42.3,62.7,66.3,66.9,70.5,74.1
Land Rover,Discovery,3.0 TD V6,2010,44.7,63.5,66.8,66.9,68.8,70.8
Land Rover,Discovery,2.2,2015,45.8,59.9,63.9,64.4,66.2,70.3
Land Rover,Discovery,2.0D,2016,46.2,63.8,66.5,66.9,68.4,71.8
Land Rover,Discovery,2.0d,2017,47.0,64.1,67.5,67.9,68.3,71.7
Land Rover,Discovery,2.0d,2018,40.3,57.2,63.8,64.5,66.0,67.8
Land Rover,Discovery Sport,2.0,2017,36.9,57.5,60.5,60.9,63.6,67.2
Land Rover,Freelander,2.2D,2008,48.1,63.1,66.3,66.7,67.8,71.0
Land Rover,Freelander,TD4,2008,43.9,62.4,66.0,66.1,67.6,69.1
Land Rover,Freelander,TD4,2009,43.5,61.9,64.8,65.0,67.0,69.2
Land Rover,Freelander,2.2D,2011,46.4,63.0,66.4,66.9,69.3,71.5
Lexus,CT,200h,2011,44.9,62.9,65.7,66.1,69.2,71.5
Lexus,CT,200h,2012,45.0,61.3,65.5,66.1,68.5,71.4
Lexus,CT,200h,2014,43.5,60.7,63.8,64.4,67.1,70.7
Lexus,CT,200h,2018,44.3,59.9,65.8,66.5,68.0,69.8
Lexus,ES,300h,2012,41.0,57.6,60.5,60.7,62.6,63.3
Lexus,GS,480h,2009,42.3,60.1,62.6,62.8,65.1,67.6
Lexus,GS,350F,2012,40.0,59.9,63.4,63.6,65.5,66.1
Lexus,GS,450h,2012,41.2,57.2,58.9,59.4,62.9,67.1
Lexus,GS,300h,2014,41.2,53.4,57.6,58.2,60.9,63.7
Lexus,GS,450h,2017,42.0,59.1,62.5,63.0,64.4,67.6
Lexus,GX,460,2010,42.3,62.0,65.4,65.6,67.5,68.1
Lexus,HS,250h,2010,44.2,61.3,64.3,64.5,66.7,67.5
Lexus,IS,250,2008,37.0,64.1,65.7,66.0,67.5,71.4
Lexus,IS,F,2008,47.6,64.2,67.1,67.3,71.2,72.5
Lexus,IS,250C,2010,38.4,63.1,66.5,67.0,69.4,71.3
Lexus,IS,250C,2010,43.2,61.5,64.0,64.2,66.6,69.2
Lexus,IS,350C,2010,44.4,63.5,66.9,67.1,70.3,71.4
Lexus,IS,250h,2013,41.6,61.0,64.4,64.6,66.8,67.6
Lexus,IS,300h,2013,43.9,60.0,62.9,63.5,66.0,69.2
Lexus,IS,300h,2018,42.1,58.6,64.8,65.5,67.0,67.8
Lexus,LS,600h,2008,38.7,55.8,58.8,59.0,61.2,62.0
Lexus,LS,600h L,2009,32.9,60.3,61.5,61.9,63.3,66.7
Lexus,LS,600h L,2010,41.2,58.2,61.2,61.7,63.8,66.5
Lexus,LS,600h,2013,35.4,56.1,59.7,59.9,61.3,61.8
Lexus,LS,600h,2016,41.0,56.6,59.5,59.9,61.5,64.5
Lexus,NX,300h,2014,34.3,57.8,61.2,61.7,63.7,66.5
Lexus,NX,300h,2018,31.4,54.5,65.0,66.0,67.1,68.8
Lexus,RC,300h,2016,30.1,60.8,63.7,64.2,65.3,67.7
Lexus,RX,450h,2010,40.2,60.7,64.3,64.5,66.9,67.8
Lexus,RX,450h,2011,44.1,62.8,65.7,65.9,68.0,70.3
Lexus,RX,350,2013,40.9,61.3,64.8,65.0,66.5,67.0
Lexus,RX,450h,2016,32.1,56.3,60.1,60.6,62.4,65.1
Lexus,RX,450h,2018,32.2,54.5,64.5,65.4,66.6,67.8
Lincoln,MKS,3.7 V6,2009,44.5,61.5,64.5,64.7,67.6,68.6
Lincoln,MKT,3.5 V6,2010,39.3,56.9,59.9,60.1,61.5,62.0
Lincoln,MKX,3.7 V6,2016,40.2,61.4,65.0,65.2,66.0,66.3
Lincoln,MKZ,2.0,2012,41.9,60.2,63.4,63.6,66.4,67.3
Lotus,Elise,SC,2008,56.0,75.4,78.8,79.0,82.4,83.6
Lotus,Elise,1.8,2014,49.6,72.7,76.4,77.0,82.6,84.3
Lotus,Evora,3.5 V6,2011,48.9,69.7,73.9,74.0,75.4,76.8
Mazda,2,1.3,2008,45.6,64.8,68.1,68.3,70.2,72.3
Mazda,2,1.3,2011,43.0,61.1,65.2,65.3,66.1,67.0
Mazda,2,1.3,2011,44.2,62.9,67.1,67.2,68.0,68.9
Mazda,2,1.5,2011,40.9,68.1,72.8,73.0,74.7,75.3
Mazda,2,1.3 BiFuel,2011,44.8,62.3,66.0,66.6,69.1,72.2
Mazda,2,1.5,2012,44.3,64.5,68.0,68.2,70.2,70.9
Mazda,2,1.5,2015,45.6,62.7,67.6,68.2,70.4,73.1
Mazda,2,1.5,2017,38.6,61.2,65.2,65.8,68.5,71.9
Mazda,2,1.5,2018,41.3,60.4,68.4,69.2,70.5,71.8
Mazda,3,1.6,2010,46.0,65.4,67.8,68.0,70.8,73.9
Mazda,3,2.3,2010,44.7,65.9,69.6,69.8,72.3,73.1
Mazda,3,Stationcar,2010,43.3,64.3,68.0,68.2,70.7,71.5
Mazda,3,1.6 CITD,2011,44.7,63.6,67.1,67.2,68.9,70.6
Mazda,3,1.6 CITD,2011,44.7,63.6,67.1,67.2,68.9,70.6
Mazda,3,2.0,2012,38.3,63.2,67.5,68.2,71.0,73.1
Mazda,3,2.0,2014,38.5,65.4,68.6,69.1,71.0,73.1
Mazda,3,2.5,2014,40.5,62.6,66.4,66.6,68.5,69.1
Mazda,3,2.5,2015,40.5,61.0,64.6,64.8,67.1,67.9
Mazda,3,1.5,2018,39.4,59.3,67.9,68.8,70.0,71.8
Mazda,5,2.0 CITD,2008,43.9,62.4,66.7,66.8,67.5,68.3
Mazda,5,2.0,2011,45.5,64.6,67.3,67.8,70.2,73.0
Mazda,5,1.6 CITD,2011,43.5,61.9,64.7,64.9,67.0,69.3
Mazda,5,Stationcar,2012,42.9,62.0,65.3,65.5,66.6,67.0
Mazda,6,2.0 CITD,2008,48.5,65.1,67.5,68.1,72.3,73.5
Mazda,6,2.0 CITD Stationcar,2008,44.9,63.8,67.2,67.3,69.1,71.0
Mazda,6,2.0 Stationcar,2008,43.8,62.3,64.6,64.8,67.5,70.5
Mazda,6,Stationcar,2009,44.8,63.7,67.0,67.2,71.0,72.3
Mazda,6,2.2 CiTD Stationcar,2011,43.1,61.3,65.1,65.2,66.3,67.6
Mazda,6,2.2 CiTD Stationcar,2011,43.1,61.3,65.1,65.2,66.3,67.6
Mazda,6,2.5,2013,41.2,59.5,62.7,62.9,66.1,67.2
Mazda,6,2.0 Stationcar,2013,38.9,62.3,66.0,66.4,67.5,70.6
Mazda,6,2.5 V6,2013,41.2,59.5,62.7,62.9,66.1,67.2
Mazda,6,2.2D Stationcar,2015,43.1,62.1,66.0,66.6,68.8,71.3
Mazda,6,2.5,2016,38.0,61.6,65.6,66.0,66.4,69.6
Mazda,6,2.2d,2017,44.0,63.6,67.6,68.0,68.3,71.7
Mazda,6,2.2d stationcar,2017,40.0,60.3,63.6,64.1,66.1,69.6
Mazda,CX3,2.0,2016,38.5,62.2,65.8,66.5,69.4,71.5
Mazda,CX-3,2,2015,43.7,63.2,67.3,67.8,69.8,71.3
Mazda,CX-3,2.0,2017,35.1,61.6,65.6,66.1,68.4,71.7
Mazda,CX-3,2.0,2018,36.2,57.4,67.0,67.9,69.1,71.8
Mazda,CX-3,1.5d,2018,42.3,60.4,67.8,68.6,70.0,71.8
Mazda,CX-5,2.0,2012,46.2,65.4,69.2,69.7,71.3,72.6
Mazda,CX-5,2.0,2012,37.3,62.2,65.5,66.1,68.5,72.1
Mazda,CX-5,2.0,2012,43.9,63.5,66.9,67.1,69.2,69.9
Mazda,CX-5,2.0,2012,45.6,64.8,68.7,68.8,70.2,71.6
Mazda,CX-5,2.0,2013,37.0,59.0,64.1,64.9,67.1,69.6
Mazda,CX-5,2.2,2015,44.2,61.0,64.4,65.0,68.2,71.8
Mazda,CX-5,2.0,2017,45.0,61.6,64.6,65.0,67.3,70.6
Mazda,CX-5,2.2d,2017,50.0,59.6,64.7,65.2,66.4,69.6
Mazda,CX-5,2.2d,2018,41.1,57.7,64.3,65.1,66.5,68.8
Mazda,MX-5,2'.0,2012,44.5,63.3,67.4,67.4,68.4,69.5
Mazda,MX-5,1.5,2016,43.1,67.6,72.7,73.3,75.2,78.8
Mazda,MX-5,2.0,2016,48.4,69.7,74.5,75.3,78.5,80.6
McLaren,570S,3.8 V8,2017,59.9,72.0,73.4,73.7,75.1,78.8
McLaren,MP4-12C,3.8 V8,2012,60.5,70.5,72.3,72.5,79.1,81.4
Mercedes,A,180,2012,39.0,60.1,63.4,64.0,66.3,70.7
Mercedes,A,200,2012,40.3,59.9,63.5,64.1,66.8,69.5
Mercedes,A,180d,2016,47.0,62.6,66.6,67.1,68.3,71.7
Mercedes,A,45 AMG,2016,50.0,63.6,66.5,66.9,68.3,71.7
Mercedes,A,180d,2018,44.1,61.4,68.3,69.1,70.5,72.8
Mercedes,AMG GT,R,2017,53.0,67.6,71.5,71.9,71.2,74.7
Mercedes,B,200,2012,43.4,62.6,66.5,66.9,67.0,69.1
Mercedes,B,200,2012,45.0,64.1,67.4,67.5,69.4,71.4
Mercedes,B,180,2014,41.4,59.0,62.0,62.5,65.1,67.6
Mercedes,B,EV,2017,41.5,59.2,61.7,62.2,64.1,66.4
Mercedes,B,180,2018,40.1,59.4,67.4,68.2,69.5,70.8
Mercedes,B,180d,2018,45.3,61.3,67.3,68.0,69.5,70.8
Mercedes,C,180,2008,41.8,59.5,62.3,62.5,64.4,66.5
Mercedes,C,350,2008,43.8,61.9,65.1,65.3,68.4,69.4
Mercedes,C,200 CDI,2008,47.7,62.1,65.9,66.4,68.2,72.0
Mercedes,C,220 CDI Stationcar,2008,44.0,62.6,65.6,65.8,67.8,70.0
Mercedes,C,63 AMG,2008,49.2,65.4,68.3,68.5,71.5,72.5
Mercedes,C,250 CDI,2009,45.6,64.8,68.7,68.8,70.2,71.6
Mercedes,C,180,2011,44.9,63.8,66.2,66.4,69.1,72.1
Mercedes,C,180,2011,44.9,63.8,66.2,66.4,69.1,72.1
Mercedes,C,250,2012,45.7,59.3,61.7,61.9,65.0,66.0
Mercedes,C,63 AMG,2012,48.8,64.2,66.9,67.1,71.1,72.4
Mercedes,C,220,2014,48.3,59.2,62.5,63.0,65.5,69.3
Mercedes,C,300,2014,42.5,59.5,62.5,62.7,67.2,68.7
Mercedes,C,180 Stationcar,2015,46.4,62.3,64.5,64.9,66.6,69.3
Mercedes,C,250 Stationcar,2015,42.4,61.2,65.3,65.8,67.8,69.3
Mercedes,C,250 Coupe,2016,42.3,62.2,63.9,64.3,66.2,68.3
Mercedes,C,180d,2018,50.3,63.1,67.2,67.7,69.4,70.8
Mercedes,C,220d Stationcar,2018,43.1,58.9,64.8,65.5,67.0,68.8
Mercedes,C,220 Stationcar,2014,40.4,59.1,62.2,62.7,65.8,67.3
Mercedes,C,350E,2015,41.5,57.3,62.9,63.6,66.3,69.3
Mercedes,C,450 AMG,2015,43.7,62.6,67.2,67.7,67.8,69.3
Mercedes,CL,500/550,2011,41.7,59.2,62.2,62.4,64.3,64.9
Mercedes,CLA,200,2013,39.3,61.2,65.8,66.3,67.7,70.6
Mercedes,CLA,200,2014,46.6,62.6,65.4,65.6,70.0,71.5
Mercedes,CLA,250,2014,42.2,61.9,65.4,65.6,68.7,69.8
Mercedes,CLA,45 AMG,2014,47.2,63.8,66.5,66.8,67.4,70.7
Mercedes,CLA,180,2016,40.0,59.4,63.0,63.5,65.7,68.5
Mercedes,CLA,200,2018,41.3,60.1,67.9,68.7,70.0,71.8
Mercedes,CLC,180,2008,43.7,62.2,64.9,65.1,67.3,69.7
Mercedes,CLS,350,2011,41.9,59.7,62.1,62.3,64.6,67.1
Mercedes,E,300,2008,41.7,59.4,62.9,63.0,64.2,65.6
Mercedes,E,63 AMG,2008,44.4,63.2,66.4,66.5,68.4,70.4
Mercedes,E,250 CDI,2009,43.3,61.6,64.4,64.6,66.7,69.0
Mercedes,E,350 CDI,2009,39.1,59.4,62.9,63.4,65.5,68.2
Mercedes,E,350 CGI Coupe,2009,42.8,61.0,64.4,64.5,66.0,67.5
Mercedes,E,250 CGI Cabrio,2010,41.9,62.2,66.0,66.4,67.3,69.9
Mercedes,E,350 CDI,2010,39.1,59.4,62.9,63.4,65.5,68.2
Mercedes,E,350 CGI Stationcar,2010,43.4,61.7,65.8,65.9,66.7,67.6
Mercedes,E,500/550,2010,44.2,63.4,66.8,67.0,69.2,69.9
Mercedes,E,550/500 Coupe,2010,45.2,58.2,60.5,60.7,63.5,64.5
Mercedes,E,63 AMG,2010,43.1,54.2,56.2,56.4,62.1,64.1
Mercedes,E,350 CGI Stationcar,2011,39.8,63.1,65.4,65.9,67.5,70.0
Mercedes,E,350,2012,43.4,61.8,64.5,64.7,66.9,69.3
Mercedes,E,200,2014,39.8,56.8,60.6,61.1,63.5,67.3
Mercedes,E,350,2014,38.2,56.9,60.2,60.4,63.7,64.8
Mercedes,E,220d,2016,40.3,56.6,59.9,60.4,62.2,65.2
Mercedes,E,220d Stationcar,2016,44.0,61.1,64.5,64.9,65.4,68.6
Mercedes,E,250 Stationcar,2016,42.2,58.8,61.8,62.3,65.1,68.4
Mercedes,E,350d,2016,43.0,60.1,63.5,63.9,64.4,67.6
Mercedes,E,400,2017,37.0,60.1,63.5,63.9,64.4,67.6
Mercedes,E,220d,2017,43.6,58.2,60.8,61.3,62.9,67.4
Mercedes,E,350d,2017,42.0,60.6,64.6,65.0,65.4,68.6
Mercedes,E,350d stationcar,2017,41.0,60.6,63.5,64.0,66.4,69.6
Mercedes,E 220,2.1D,2015,41.8,60.2,64.3,64.8,66.8,68.3
Mercedes,E 250,2.1D,2015,42.4,61.6,65.2,65.7,67.8,69.3
Mercedes,E 350,Convertible,2013,41.8,60.7,64.3,64.8,67.8,69.3
Mercedes,E 350, ,2015,41.1,59.2,63.3,63.8,65.9,67.3
Mercedes,GLA,200,2014,41.3,61.0,65.5,65.9,66.9,70.0
Mercedes,GLA,250,2015,42.4,62.1,65.2,65.6,67.8,69.3
Mercedes,GLA,45 AMG,2015,43.7,63.2,67.3,67.8,69.8,71.3
Mercedes,GLA,220d,2018,47.3,62.3,67.8,68.4,70.0,71.8
Mercedes,GLC,250d,2015,43.4,57.7,62.2,62.7,64.4,68.2
Mercedes,GLC,250d,2016,43.2,62.3,65.5,65.9,66.4,69.7
Mercedes,GLC,250d,2016,43.0,59.6,63.0,63.4,64.4,67.5
Mercedes,GLC,250d,2017,45.0,60.1,63.5,64.0,65.4,68.6
Mercedes,GLC,350d,2017,40.6,57.1,59.8,60.1,61.4,64.7
Mercedes,GLC,43 AMG,2017,41.0,62.6,65.5,65.8,66.3,69.6
Mercedes,GLC,220d,2018,40.1,56.7,63.3,64.1,65.5,67.8
Mercedes,GLE,250d,2016,45.0,59.6,62.5,62.9,64.4,67.6
Mercedes,GLE,400,2017,39.0,59.1,62.6,63.1,65.4,68.6
Mercedes,GLE,350d,2017,44.0,60.6,64.6,65.0,65.4,68.6
Mercedes,GLK,320 CDI,2008,46.1,61.1,67.0,67.5,68.2,70.2
Mercedes,GLK,220 CDI,2009,42.8,61.0,63.6,63.8,66.0,68.4
Mercedes,GLK,220,2014,41.8,60.2,64.3,64.9,67.8,69.3
Mercedes,GLK,3.0D V6,2014,42.4,61.2,65.3,65.8,67.8,69.3
Mercedes,ML,63 AMG,2008,42.4,60.3,63.8,63.9,65.3,66.7
Mercedes,ML,320,2009,46.0,61.9,64.6,64.8,65.9,66.3
Mercedes,ML,350,2012,43.6,59.1,63.3,63.9,67.3,69.1
Mercedes,ML,350,2012,42.1,59.8,62.0,62.2,64.8,67.6
Mercedes,ML,450/500,2012,41.1,58.1,61.1,61.3,62.9,63.4
Mercedes,R,350 CDI,2012,42.3,60.2,62.9,63.1,65.2,67.5
Mercedes,S,500,2008,42.9,61.1,62.2,62.5,66.1,70.3
Mercedes,S,63 AMG,2008,49.0,65.7,68.6,68.8,71.0,71.8
Mercedes,S,400 Hybrid,2009,43.0,61.1,64.6,64.7,66.2,67.7
Mercedes,S,500 L 4 matic,2010,40.2,59.4,63.2,63.7,65.1,66.9
Mercedes,S,500,2013,39.8,57.2,61.3,61.9,64.9,66.3
Mercedes,S,500,2014,37.9,56.7,60.0,60.2,62.4,63.1
Mercedes,S,350d,2016,41.1,56.8,60.4,60.9,63.5,66.2
Mercedes,S,500e,2016,38.0,54.1,58.6,59.1,60.6,63.5
Mercedes,S,AMG S63,2016,43.0,58.6,61.5,62.0,64.4,67.6
Mercedes,SL,500,2012,45.1,64.2,68.4,68.4,69.4,70.5
Mercedes,SL,400,2016,40.0,61.1,64.6,65.0,66.4,69.6
Mercedes,SLK,350,2011,46.7,66.5,70.3,70.4,72.0,73.6
Mercedes,SLK,350,2012,48.8,64.6,67.4,67.6,71.1,72.3
Mercedes,SLS,AMG Roadster,2012,44.5,63.4,67.9,68.0,68.5,69.1
Mercury,Grand Marquis,4.6 V8,2010,44.4,64.0,67.4,67.6,69.7,70.5
Mercury,Mariner,Hybrid,2008,37.7,67.2,72.4,72.6,74.8,75.5
Mini,Clubman,Cooper S,2012,46.2,65.7,67.2,67.5,71.1,75.2
Mini,Clubman,One,2016,39.6,60.6,63.5,64.0,67.9,70.6
Mini,Cooper,D,2008,49.2,72.1,73.4,73.9,74.2,76.0
Mini,Cooper,Cabrio,2009,46.5,66.2,70.2,70.3,71.7,73.1
Mini,Cooper, ,2010,41.4,65.9,68.7,69.1,71.3,73.4
Mini,Cooper,Stationcar,2010,37.0,64.1,67.7,68.2,70.2,73.0
Mini,Cooper,1.6,2011,46.3,64.1,67.3,67.5,70.9,72.0
Mini,Cooper,S Coupe,2011,45.8,65.2,69.2,69.3,70.5,71.9
Mini,Cooper,Stationcar,2011,37.2,65.1,67.3,67.8,70.9,73.0
Mini,Cooper,1.5,2014,43.4,63.2,69.6,70.2,70.5,71.5
Mini,Cooper, ,2014,42.0,62.9,65.8,66.1,67.6,70.4
Mini,Cooper,S Clubman,2015,46.7,64.3,68.6,69.3,72.1,75.2
Mini,Cooper,1.5 Cabrio,2016,42.2,64.1,69.0,69.7,72.9,74.4
Mini,Cooper,2.0D,2016,45.3,61.8,64.5,64.9,67.4,70.7
Mini,Cooper,Cabrio,2016,45.9,68.6,70.3,70.6,71.2,74.7
Mini,Cooper,S,2016,41.0,65.1,68.6,69.0,70.3,73.7
Mini,Cooper,S,2017,39.0,65.6,69.6,70.0,70.3,73.7
Mini,Cooper,1.5,2018,44.1,61.5,68.3,69.1,70.5,71.8
Mini,Cooper,1.5d,2018,45.3,62.8,69.8,70.6,72.0,73.8
Mini,Countryman,Cooper,2012,38.4,63.3,67.3,67.8,71.7,75.1
Mini,Countryman,1.6,2014,40.2,63.4,66.1,66.6,68.8,73.1
Mini,Countryman,1.6,2015,39.3,63.8,66.6,67.1,70.0,72.9
Mini,Countryman, ,2015,43.7,63.6,67.2,67.7,69.8,71.3
Mini,Countryman,1.5,2018,40.3,57.4,64.3,65.1,66.5,68.8
Mini,Roadster,Cooper S,2012,44.8,63.7,67.7,67.8,68.9,70.2
Mitsubihi,Lancer,Sportback 1.6,2011,45.0,64.1,68.9,68.9,69.3,69.7
Mitsubishi,ASX,1.6,2010,43.8,62.3,66.9,67.0,67.4,67.9
Mitsubishi,ASX,1.6,2013,44.1,62.6,65.3,65.8,69.1,72.2
Mitsubishi,ASX,1.6,2015,45.0,65.2,69.3,69.9,72.7,74.3
Mitsubishi,ASX,1.6,2016,40.2,64.6,69.6,70.2,72.9,76.0
Mitsubishi,Colt,1.3 Invit,2009,42.2,66.3,69.9,70.4,72.2,75.0
Mitsubishi,Colt,1.3,2010,41.7,64.9,68.0,68.5,70.8,73.3
Mitsubishi,i,0.7,2010,47.3,62.5,65.1,65.3,66.0,66.3
Mitsubishi,Lancer,110,2008,39.2,69.2,70.9,71.5,74.7,75.0
Mitsubishi,Lancer,Evo X,2008,45.6,67.2,71.0,71.2,73.1,73.8
Mitsubishi,Lancer,Evolution MR,2008,46.5,66.1,70.2,70.3,71.5,72.9
Mitsubishi,Lancer,GTS,2008,43.9,63.6,67.1,67.3,70.6,71.8
Mitsubishi,Lancer,1.8 Stationcar,2009,47.3,67.3,69.5,69.7,72.9,76.5
Mitsubishi,Lancer,2.0 DI-D,2008,46.2,65.7,69.8,69.9,71.0,72.3
Mitsubishi,Outlander,2.2 DI-D,2008,45.5,64.5,67.8,68.3,71.5,72.8
Mitsubishi,Outlander,2.4 CVT,2008,41.2,66.1,68.4,68.9,72.2,74.3
Mitsubishi,Outlander,2.2 DI-D,2010,43.4,61.7,64.0,64.2,66.8,69.6
Mitsubishi,Outlander,2.0,2011,39.1,64.6,69.1,69.3,71.9,72.8
Mitsubishi,Outlander,2.0,2013,45.8,65.1,69.9,70.5,71.9,75.9
Mitsubishi,Outlander,PHEV,2014,44.0,59.6,64.9,65.5,67.9,70.1
Mitsubishi,Outlander,Hybrid,2018,49.3,61.7,65.7,66.3,67.9,70.8
Mitsubishi,Space Star,1.0,2013,48.2,66.5,69.7,70.4,74.4,77.3
Mitsubishi,Space Star,1.0,2013,42.4,65.5,69.5,70.1,72.7,74.9
Mitsubishi,Space Star,1.2,2017,43.5,65.0,68.5,69.1,71.6,74.5
Nissan,350Z, ,2008,46.3,65.9,69.8,69.9,71.3,72.7
Nissan,370Z, ,2009,48.0,67.5,70.9,71.1,74.6,75.8
Nissan,370Z, ,2010,47.3,67.3,70.6,70.8,72.9,75.2
Nissan,370Z,Cabrio,2010,48.1,66.3,69.5,69.7,73.0,74.1
Nissan,370Z, ,2017,45.0,68.6,71.6,72.0,74.2,77.8
Nissan,Altima,3.5 V6,2008,39.3,61.0,64.8,65.0,68.2,69.3
Nissan,Altima,3.5 V6,2012,38.7,57.2,60.5,60.7,64.1,65.3
Nissan,Altima,2.5,2013,39.7,58.8,62.1,62.3,64.8,65.6
Nissan,Altima,2.5,2016,41.9,59.8,62.9,63.1,65.1,65.8
Nissan,Cube,S,2009,41.0,66.5,70.9,71.1,72.0,72.3
Nissan,Cube,1.6 CVT,2010,44.4,63.2,66.6,66.7,68.4,70.1
Nissan,GT-R, ,2009,52.6,73.8,77.5,77.7,79.8,80.5
Nissan,GT-R, ,2011,51.9,67.5,72.4,72.8,74.7,75.3
Nissan,GT-R, ,2012,51.5,68.3,71.2,71.4,74.4,75.5
Nissan,GT-R, ,2013,50.9,71.3,74.9,75.1,77.5,78.3
Nissan,GT-R,3.8 V6,2017,49.0,68.1,71.5,71.9,72.2,75.8
Nissan,Juke,1.6,2011,42.5,66.6,70.8,71.0,72.6,73.2
Nissan,Juke,1.6 DIG-T,2011,37.9,66.2,69.1,69.6,70.3,72.6
Nissan,Juke,1.6,2013,38.0,64.1,66.6,67.3,70.5,73.5
Nissan,Juke,Nismo,2013,40.8,63.9,67.9,68.1,69.1,69.4
Nissan,Juke,1.2,2014,41.4,62.4,65.4,66.0,68.9,71.6
Nissan,Juke,1.2,2018,42.1,60.7,68.4,69.1,70.5,71.8
Nissan,Juke,1.5d,2018,47.3,61.0,65.7,66.3,67.9,69.8
Nissan,Leaf, ,2011,37.2,64.8,69.6,69.8,72.8,73.8
Nissan,Leaf, ,2011,42.8,61.0,64.8,64.8,65.9,67.1
Nissan,Leaf, ,2013,44.9,62.3,66.6,67.1,69.2,70.6
Nissan,Leaf,EV,2017,42.4,59.7,62.1,62.6,65.4,67.9
Nissan,Maxima,3.5 V6,2009,42.5,65.3,69.2,69.4,70.5,70.9
Nissan,Micra,1.2,2011,48.1,66.6,71.8,72.4,74.2,75.1
Nissan,Micra,1.2,2011,43.4,61.8,65.5,65.6,66.8,68.2
Nissan,Micra,1.2,2012,45.5,64.8,68.3,68.4,70.1,71.8
Nissan,Micra,0.9,2017,44.5,62.2,65.6,66.2,68.7,71.8
Nissan,Micra,0.9,2017,41.3,62.2,66.1,66.7,68.7,71.3
Nissan,Micra,0.9,2017,41.0,63.1,66.6,67.0,68.3,71.7
Nissan,Micra,1,2018,41.2,60.6,68.9,69.7,71.0,72.8
Nissan,Murano,3.5 V6,2008,40.8,58.1,61.9,62.0,62.8,63.7
Nissan,Murano,3.5 V6,2009,41.6,63.0,66.8,67.0,69.3,70.1
Nissan,Murano,CrossCabriolet,2011,44.0,64.6,68.2,68.4,70.1,70.7
Nissan,Navara,2.5 DCI,2012,47.2,66.2,67.7,68.1,70.5,73.2
Nissan,Note,1.4,2009,44.3,63.1,65.5,65.7,68.3,71.1
Nissan,Note,1.4 L,2010,40.0,66.6,68.9,69.6,73.8,74.5
Nissan,Note,1.2,2014,41.2,65.4,68.1,68.6,71.4,74.2
Nissan,Note,1.2,2016,39.6,62.3,66.1,66.7,69.6,72.7
Nissan,Pathfinder,5.6 V8,2008,43.1,63.2,66.7,66.9,68.1,68.5
