Model_year,Make,Model,Vehicle Class,Motor(kw),Transmission,Fuel_type,Consumption_city(kwh/100km),Consumption_Hwy(kwh/100km),Consumption_comb(kwh/100km),Consumption_city(Le/100km),Consumption_Hwy(Le/100km),Consumption_comb(Le/100km),Range(km),CO2_Emissions(g/km),CO2 ,Smog_rating,Recharge_time(h)
2020,Porsche,Taycan Turbo S,Compact,460.0,A2,B,31.3,30.7,31.0,3.5,3.4,3.5,309.0,0.0,10.0,10.0,10.5
2020,Tesla,Model 3 Standard Range,Mid-size,211.0,A1,B,14.8,16.5,15.6,1.7,1.9,1.7,151.0,0.0,10.0,10.0,3.7
2020,Tesla,Model 3 Standard Range Plus,Mid-size,211.0,A1,B,14.1,15.9,14.9,1.6,1.8,1.7,402.0,0.0,10.0,10.0,8.5
2020,Tesla,Model 3 Mid Range,Mid-size,211.0,A1,B,16.4,17.9,17.1,1.8,2.0,1.9,425.0,0.0,10.0,10.0,10.0
2020,Tesla,Model 3 Long Range,Mid-size,211.0,A1,B,15.3,17.0,16.1,1.7,1.9,1.8,531.0,0.0,10.0,10.0,10.0
2020,Tesla,Model 3 Long Range AWD,Mid-size,335.0,A1,B,16.9,18.0,17.4,1.9,2.0,2.0,518.0,0.0,10.0,10.0,10.0
2020,Tesla,"Model 3 Long Range AWD Performance (18"" Wheels)",Mid-size,358.0,A1,B,16.9,18.0,17.4,1.9,2.0,2.0,518.0,0.0,10.0,10.0,10.0
2020,Tesla,"Model 3 Long Range AWD Performance (19"" Wheels)",Mid-size,358.0,A1,B,17.6,18.7,18.1,2.0,2.1,2.0,489.0,0.0,10.0,10.0,10.0
2020,Tesla,"Model 3 Long Range AWD Performance (20"" Wheels)",Mid-size,358.0,A1,B,17.8,19.6,18.6,2.0,2.2,2.1,481.0,0.0,10.0,10.0,10.0
2020,Tesla,Model S Standard Range,Full-size,398.0,A1,B,18.5,20.0,19.2,2.1,2.2,2.2,462.0,0.0,10.0,10.0,9.0
2020,Tesla,Model S Long Range,Full-size,398.0,A1,B,18.2,19.5,18.8,2.0,2.2,2.1,600.0,0.0,10.0,10.0,12.0
2020,Tesla,Model S Long Range Plus (pre-15/6/20),Full-size,398.0,A1,B,17.2,18.9,18.0,1.9,2.1,2.0,629.0,0.0,10.0,10.0,12.0
2020,Tesla,Model S Long Range Plus,Full-size,398.0,A1,B,17.3,18.8,17.9,1.9,2.1,2.0,647.0,0.0,10.0,10.0,12.0
2020,Tesla,"Model S Performance (19"" Wheels)",Full-size,580.0,A1,B,20.1,20.2,20.2,2.3,2.3,2.3,560.0,0.0,10.0,10.0,12.0
2020,Tesla,"Model S Performance (21"" Wheels)",Full-size,580.0,A1,B,21.3,21.9,21.6,2.4,2.5,2.4,525.0,0.0,10.0,10.0,12.0
2020,Tesla,Model X Standard Range,SUV: Standard,398.0,A1,B,20.0,21.5,20.7,2.2,2.4,2.3,415.0,0.0,10.0,10.0,9.0
2020,Tesla,Model X Long Range,SUV: Standard,398.0,A1,B,21.2,22.5,21.8,2.4,2.5,2.4,528.0,0.0,10.0,10.0,12.0
